Number,Player,ID_Position,School_Label,ID_Conference,ID_Race,ID_Class,Height,Height.Inches,Weight,ID_Eligibility,Formal_Stated_Major,Unknown_Undisclosed_Major,ID_Major_Type,CIPFamily,CIPFamilyTitle,CIPCode,CIPTitle,CIPDefinition,Hometown,City,ID_State.Provence.Country,Latitude,Longitude,High_School,Season,PlayerBio_URL
51,Bruce Heggie,OC,Notre Dame,IND,C,JR,"6'5""",77,285,,Management Consulting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0201,"Business Administration and Management, General.","A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitative methods, purchasing and logistics, organization and production, marketing, and business decision-making.","Sorrento, FL",Sorrento,FL,28.831447,-81.505121,Mount Dora High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/heggie_bruce00.html
74,Christian Lombard,OL,Notre Dame,IND,C,JR,"6'5""",77,309,,Management Consulting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0201,"Business Administration and Management, General.","A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitative methods, purchasing and logistics, organization and production, marketing, and business decision-making.","Inverness, IL",Inverness,IL,42.1180815,-88.0961865,Fremd High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/lombard_christian00.html
48,Dan Fox,LB,Notre Dame,IND,C,GR,"6'3""",75,240,,Management Consulting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0201,"Business Administration and Management, General.","A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitative methods, purchasing and logistics, organization and production, marketing, and business decision-making.","Rocky River, OH",Rocky River,OH,NA,NA,St. Ignatius,2012-2013,http://www.und.com/sports/m-footbl/mtt/fox_dan00.html
81,John Goodman,WR,Notre Dame,IND,C,GR,"6'3""",75,215,,Management Consulting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0201,"Business Administration and Management, General.","A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitative methods, purchasing and logistics, organization and production, marketing, and business decision-making.","Fort Wayne, IN",Fort Wayne,IN,41.130604,-85.12886,Bishop Dwenger High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/goodman_john00.html
11,Tommy Rees,QB,Notre Dame,IND,C,JR,"6'2""",74,210,,Management Consulting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0201,"Business Administration and Management, General.","A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitative methods, purchasing and logistics, organization and production, marketing, and business decision-making.","Lake Forest, IL",Lake Forest,IL,40.754176,-88.393085,Lake Forest High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/rees_tommy00.html
80,Tyler Eifert,TE,Notre Dame,IND,C,SR,"6'6""",78,251,,Management Consulting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0201,"Business Administration and Management, General.","A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitative methods, purchasing and logistics, organization and production, marketing, and business decision-making.","Ft. Wayne, IN",Ft. Wayne,IN,40.553379,-85.149971,Bishop Dwenger High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/eifert_tyler00.html
66,Chris Watt,OG,Notre Dame,IND,C,SR,"6'3""",75,310,,Marketing,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.1401,"Marketing/Marketing Management, General.","A program that generally prepares individuals to undertake and manage the process of developing consumer audiences and moving products from producers to consumers.  Includes instruction in buyer behavior and dynamics, principle of marketing research, demand analysis, cost-volume and profit relationships, pricing theory, marketing campaign and strategic planning, market segments, advertising methods, sales operations and management, consumer relations, retailing, and applications to specific products and markets.","Glen Ellyn, IL",Glen Ellyn,IL,41.8775293,-88.0670118,Glenbard West High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/watt_chris00.html
89,Kapron Lewis-Moore,DE,Notre Dame,IND,AA,GR,"6'4""",76,306,,Marketing,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.1401,"Marketing/Marketing Management, General.","A program that generally prepares individuals to undertake and manage the process of developing consumer audiences and moving products from producers to consumers.  Includes instruction in buyer behavior and dynamics, principle of marketing research, demand analysis, cost-volume and profit relationships, pricing theory, marketing campaign and strategic planning, market segments, advertising methods, sales operations and management, consumer relations, retailing, and applications to specific products and markets.","Weatherford, TX",Weatherford,TX,32.7592955,-97.7972544,Weatherford High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/lewismoore_kapron00.html
14,Luke Massa,WR,Notre Dame,IND,C,JR,"6'4""",76,225,,Marketing,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.1401,"Marketing/Marketing Management, General.","A program that generally prepares individuals to undertake and manage the process of developing consumer audiences and moving products from producers to consumers.  Includes instruction in buyer behavior and dynamics, principle of marketing research, demand analysis, cost-volume and profit relationships, pricing theory, marketing campaign and strategic planning, market segments, advertising methods, sales operations and management, consumer relations, retailing, and applications to specific products and markets.","Cincinnati, OH",Cincinnati,OH,39.1031182,-84.5120196,St. Xavier,2012-2013,http://www.und.com/sports/m-footbl/mtt/massa_luke00.html
64,Tate Nichols,OT,Notre Dame,IND,C,JR,"6'8""",80,320,,Marketing,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.1401,"Marketing/Marketing Management, General.","A program that generally prepares individuals to undertake and manage the process of developing consumer audiences and moving products from producers to consumers.  Includes instruction in buyer behavior and dynamics, principle of marketing research, demand analysis, cost-volume and profit relationships, pricing theory, marketing campaign and strategic planning, market segments, advertising methods, sales operations and management, consumer relations, retailing, and applications to specific products and markets.","Walton, KY",Walton,KY,38.8756194,-84.6102213,Ryle High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/nichols_tate00.html
